prompt,standard_english,ste
Identify and replace non-STE words with approved alternatives,make sure that the valve is operable.,make sure that the valve can operate.
Identify and replace non-STE words with approved alternatives,wipe excess compound from the gasket.,remove unwanted compound from the gasket.
Identify and replace non-STE words with approved alternatives,the horizon bar may drift slightly.,the horizon bar can move a small distance.
Identify and replace non-STE words with approved alternatives,deaerate the number 1 hydraulic system.,bleed the number 1 hydraulic system.
Identify and replace non-STE words with approved alternatives,ensure that there are no loose articles in the engine air intakes.,make sure that there are no loose objects in the engine air intakes.
Identify and replace non-STE words with approved alternatives,"due to the small diameter of the hole, the flow is low.","because of the small diameter of the hole, the flow is low."
Identify and replace non-STE words with approved alternatives,mask the first layer of tape across the cutout and the second and third layers diagonally.,apply the first layer of tape across the cutout and the second and third layers diagonally.
Identify and replace non-STE words with approved alternatives,check the lines for audible leaks of air.,listen for air from the lines.
Identify and replace non-STE words with approved alternatives,the removal procedure is common to both items.,the removal procedure is the same for the two items.
Identify and replace non-STE words with approved alternatives,slacken the control cables.,release the tension in the control cables.
Identify and replace non-STE words with approved alternatives,turn the control to the absolutely closed position.,turn the control to the fully closed position.
Identify and replace non-STE words with approved alternatives,apply sealant generously to the repair patch.,apply a large quantity of sealant to the repair patch.
Identify and replace non-STE words with approved alternatives,cut along the contour to take out the damaged skin.,cut along the contour to remove the damaged skin.
Identify and replace non-STE words with approved alternatives,slip the carriage along the flap track.,move the carriage along the flap track.
Identify and replace non-STE words with approved alternatives,"for more information about spare parts, contact the sales department.","for more information about spare parts, write to the sales department."
Identify and replace non-STE words with approved alternatives,switch on nav 1.,"set the nav 1 switch to ""on""."
Identify and replace non-STE words with approved alternatives,bars deflect to the right.,the bars move to the right side.
Identify and replace non-STE words with approved alternatives,check that valves do not bind.,make sure that the valves move freely.
Identify and replace non-STE words with approved alternatives,wash the bike with water.,clean the bicycle with water.
Identify and replace non-STE words with approved alternatives,center the piston in the sleeve.,align the piston with the center of the sleeve.
Identify and replace non-STE words with approved alternatives,bear down on the surface of the patch to make sure that the parts bond correctly.,apply weight on the surface of the patch to make sure that the parts bond correctly.
Identify and replace non-STE words with approved alternatives,"when the flyweights are stationary, do the test.","when the flyweights stop, do the test."
Identify and replace non-STE words with approved alternatives,check for loose fasteners.,do a check for loose fasteners.
Identify and replace non-STE words with approved alternatives,make sure that the drag struts do not obstruct the landing gear.,make sure that the drag struts do not catch on the landing gear.
Identify and replace non-STE words with approved alternatives,"if rough spots are encountered, remove them with emery cloth.","if you find rough areas, remove them with emery cloth."
Identify and replace non-STE words with approved alternatives,you must get medical help immediately.,get medical aid immediately.
Identify and replace non-STE words with approved alternatives,use adhesive number 35 to join metal to metal.,use adhesive number 35 to bond metal to metal
Identify and replace non-STE words with approved alternatives,link the circuit breaker electrical wire to the back connector of the front light.,connect the circuit breaker electrical wire to the rear connector of the front light.
Identify and replace non-STE words with approved alternatives,screw the straps to the panels.,attach the straps to the panels with screws.
Identify and replace non-STE words with approved alternatives,the alteration to this repair procedure must get approval of the design authority.,"if you change this repair procedure, get approval of the design authority."
Identify and replace non-STE words with approved alternatives,contaminated oil must be replaced.,replace the dirty oil.
Identify and replace non-STE words with approved alternatives,make sure that solvents are not in the vicinity of the engine exhaust.,make sure that solvents are not near the engine exhaust.
Identify and replace non-STE words with approved alternatives,raise the temperature 10 deg.,increase the temperature by 10 deg.
Identify and replace non-STE words with approved alternatives,replace all components that are worn beyond their maximum limits.,replace all components that are worn more than the maximum limits.
Identify and replace non-STE words with approved alternatives,fit the wheel.,install the wheel.
Identify and replace non-STE words with approved alternatives,the gyro requires precise adjustment.,the gyro adjustment must be accurate.
Identify and replace non-STE words with approved alternatives,remove the unnecessary ground equipment.,remove the ground equipment that is not necessary.
Identify and replace non-STE words with approved alternatives,"hold the flange in its position. next, install the bolt.","hold the flange in its position. then, install the bolt."
Identify and replace non-STE words with approved alternatives,squash the spring and gently fit the cover in place.,compress the spring and carefully install the cover.
Identify and replace non-STE words with approved alternatives,the bottom edge of the panel is covered with carpet.,the bottom edge of the panel has carpet on it.
Identify and replace non-STE words with approved alternatives,allocate the different maintenance tasks to technicians.,give the different maintenance tasks to the technicians.
Identify and replace non-STE words with approved alternatives,advance the throttle to maximum power.,set the throttle to maximum power.
Identify and replace non-STE words with approved alternatives,display a warning notice on the panel prohibiting the operation of the controls.,put a warning notice on the panel to prevent operation of the controls.
Identify and replace non-STE words with approved alternatives,take out the bottom bolt.,remove the bottom bolt.
Identify and replace non-STE words with approved alternatives,suspend the engine in a fireproof bay.,hang the engine in a fireproof bay.
Identify and replace non-STE words with approved alternatives,a heavy landing may result in shock loading of the engine.,a heavy landing can cause shock loading of the engine.
Identify and replace non-STE words with approved alternatives,replace the cap if its condition is not acceptable.,replace the cap if its condition is not satisfactory.
Identify and replace non-STE words with approved alternatives,recheck the distance between the faces.,measure the distance between the faces again.
Identify and replace non-STE words with approved alternatives,"whenever a new revision is available, the status of the last revision changes to ""canceled"".","when a new revision is available, the status of the last revision changes to ""canceled""."
Identify and replace non-STE words with approved alternatives,haul the hydraulic cart away from the aircraft before you start the engine.,move the hydraulic cart away from the aircraft before you start the engine.
Identify and replace non-STE words with approved alternatives,check the damage.,look for damage.
Identify and replace non-STE words with approved alternatives,"dimension ""a"" must not exceed 50 percent of dimension ""d"".","dimension ""a"" must not be more than 50 per cent of dimension ""d""."
Identify and replace non-STE words with approved alternatives,secure the clamp block across the control lever forks with safety wire.,safety the clamp block across the control lever forks with safety wire.
Identify and replace non-STE words with approved alternatives,examine the filter for metallic particles.,examine the filter for metal particles.
Identify and replace non-STE words with approved alternatives,do not restore the chromic acid anodizing on the skin panel.,do not repair the chromic acid anodizing on the skin panel.
Identify and replace non-STE words with approved alternatives,"if you fail to comply with these instructions, there is a risk of injury.","if you do not obey these instructions, there is a risk of injury."
Identify and replace non-STE words with approved alternatives,grip the front of the bicycle.,hold the front of the bicycle.
Identify and replace non-STE words with approved alternatives,metal objects may result in magnetic interference.,metal objects can cause magnetic interference.
Identify and replace non-STE words with approved alternatives,"if the humidity is variable, put a cover on the unit.","if the humidity changes frequently, put a cover on the unit."
Identify and replace non-STE words with approved alternatives,the panel's edge distance from the partition must not exceed 0.05 mm.,the distance between the edge of the panel and the partition must not be more than 0.05 mm.
Identify and replace non-STE words with approved alternatives,coat the battery cables with grease.,apply a layer of grease to the battery cables.
Identify and replace non-STE words with approved alternatives,equivalent materials are also permissible.,equivalent materials are also permitted.
Identify and replace non-STE words with approved alternatives,"if you are not certain that the results are correct, do the test again.","if you are not sure that the results are correct, do the test again."
Identify and replace non-STE words with approved alternatives,fit the rest of the tire.,install the remaining of the tire.
Identify and replace non-STE words with approved alternatives,fit the washer on the screw.,install the washer on the screw.
Identify and replace non-STE words with approved alternatives,quit the engine test once the flame is out.,"when the flame extinguishes, stop the engine test."
Identify and replace non-STE words with approved alternatives,warm the mixture before use.,make the mixture warm before you use it.
Identify and replace non-STE words with approved alternatives,dress suitably before entering the fuel tank.,put on protective clothing before you go into the fuel tank.
Identify and replace non-STE words with approved alternatives,devise new troubleshooting procedures.,find new troubleshooting procedures.
